,Acronym,RosterID,Interceptions,InterceptionsYards,InterceptionTDs,PassDefended,ForcedFumbles,FumblesRecovered,FumbleYards,FumbleTDs,Sacks,CombinedTackles,SoloTackles,AssistedTackles,TacklesForLoss,QbHits,Safeties
73,sfo,sfo94JordanWillis,,,,,1.0,0.0,0.0,0.0,3.0,15.0,6.0,9.0,2.0,5.0,
74,sfo,sfo30JarrodWilson,,,,,,,,,0.0,3.0,2.0,1.0,0.0,0.0,
75,sfo,sfo22JeffWilson,,,,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
76,sfo,sfo32TavonWilson,0.0,0.0,0.0,1.0,,,,,0.0,10.0,6.0,4.0,0.0,0.0,
77,sfo,sfo18MitchWishnowsky,,,,,,,,,,,,,,,
78,sfo,sfo89CharlieWoerner,,,,,,,,,0.0,7.0,6.0,1.0,0.0,0.0,
79,chi,sfo53TyrellAdams,,,,,,,,,,,,,,,
80,chi,sfo11BrandonAiyuk,,,,,,,,,0.0,4.0,4.0,0.0,0.0,0.0,
81,chi,sfo51AzeezAl-Shaair,,,,,,,,,,,,,,,
82,chi,sfo91ArikArmstead,,,,,,,,,0.5,22.0,14.0,8.0,1.0,1.0,
83,chi,sfo62AaronBanks,,,,,,,,,,,,,,,
84,chi,sfo17TravisBenjamin,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
85,chi,sfo97NickBosa,0.0,0.0,0.0,1.0,,,,,2.0,8.0,2.0,6.0,1.0,5.0,
86,chi,sfo64JakeBrendel,,,,,,,,,,,,,,,
87,chi,sfo60DanielBrunskill,,,,,,,,,,,,,,,
88,chi,sfo40TrentonCannon,,,,,,,,,,,,,,,
89,chi,sfo66TomCompton,,,,,,,,,,,,,,,
90,chi,sfo13RiverCracraft,,,,,,,,,,,,,,,
91,chi,sfo43DarquezeDennard,,,,,,,,,0.0,3.0,1.0,2.0,0.0,0.0,
92,chi,sfo82RossDwelley,,,,,,,,,,,,,,,
93,chi,sfo56SamsonEbukam,,,,,,,,,,,,,,,
94,chi,sfo45DemetriusFlannigan-Fowles,,,,,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,
95,chi,sfo55DeeFord,,,,,,,,,,,,,,,
96,chi,sfo10JimmyGaroppolo,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,
97,chi,sfo90KevinGivens,1.0,6.0,0.0,2.0,,,,,2.5,43.0,24.0,19.0,3.0,9.0,
98,chi,sfo09RobbieGould,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,
99,chi,sfo57DreGreenlaw,,,,,,,,,0.0,24.0,13.0,11.0,0.0,0.0,
100,chi,sfo26DavontaeHarris,2.0,42.0,0.0,5.0,,,,,0.0,40.0,31.0,9.0,0.0,0.0,
101,chi,sfo36MarcellHarris,1.0,0.0,0.0,4.0,0.0,2.0,25.0,1.0,0.0,51.0,33.0,18.0,0.0,0.0,
102,chi,sfo23JamycalHasty,0.0,0.0,0.0,1.0,,,,,0.0,12.0,7.0,5.0,0.0,0.0,
103,chi,sfo35BrianHill,,,,,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,
104,chi,sfo84TannerHudson,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,
105,chi,sfo29TalanoaHufanga,,,,,,,,,,,,,,,
106,chi,sfo96MauriceHurst,,,,,,,,,3.5,25.0,19.0,6.0,5.0,9.0,
107,chi,sfo25TonyJefferson,0.0,0.0,0.0,6.0,,,,,0.0,23.0,19.0,4.0,1.0,0.0,
108,chi,sfo15JauanJennings,,,,,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,0.0,0.0,
109,chi,sfo27DontaeJohnson,0.0,0.0,0.0,4.0,,,,,0.0,13.0,6.0,7.0,1.0,0.0,
110,chi,sfo48KerryonJohnson,,,,,,,,,0.0,4.0,2.0,2.0,0.0,0.0,
111,chi,sfo93D.J.Jones,,,,,,,,,0.0,14.0,6.0,8.0,3.0,0.0,
112,chi,sfo44KyleJuszczyk,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,87.0,55.0,32.0,5.0,3.0,
113,chi,sfo92ZachKerr,,,,,0.0,1.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,
114,chi,sfo98ArdenKey,0.0,0.0,0.0,1.0,0.0,2.0,12.0,0.0,3.0,51.0,26.0,25.0,5.0,9.0,
115,chi,sfo99JavonKinlaw,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,7.0,39.0,23.0,16.0,7.0,7.0,
116,chi,sfo13DreKirkpatrick,,,,,,,,,,,,,,,
117,chi,sfo85GeorgeKittle,,,,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
118,chi,sfo05TreyLance,,,,,,,,,,,,,,,
119,chi,sfo38DeommodoreLenoir,2.0,31.0,0.0,3.0,0.0,1.0,13.0,0.0,1.0,47.0,33.0,14.0,1.0,1.0,
120,chi,sfo50AlexMack,,,,,,,,,0.0,2.0,1.0,1.0,0.0,1.0,
121,chi,sfo59JustinMarch,,,,,,,,,,,,,,,
122,chi,sfo88JordanMatthews,,,,,,,,,,,,,,,
123,chi,sfo69MikeMcGlinchey,,,,,,,,,,,,,,,
124,chi,sfo68ColtonMcKivitz,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,
125,chi,sfo25ElijahMitchell,0.0,0.0,0.0,6.0,,,,,0.0,23.0,19.0,4.0,1.0,0.0,
126,chi,sfo76JaylonMoore,,,,,,,,,,,,,,,
127,chi,sfo04EmmanuelMoseley,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,76.0,54.0,22.0,4.0,0.0,
128,chi,sfo31RaheemMostert,,,,,,,,,,,,,,,
129,chi,sfo43KaiNacua,,,,,,,,,0.0,3.0,1.0,2.0,0.0,0.0,
130,chi,sfo26JoshNorman,2.0,42.0,0.0,5.0,,,,,0.0,40.0,31.0,9.0,0.0,0.0,
131,chi,sfo53MarkNzeocha,,,,,,,,,,,,,,,
132,chi,sfo92CharlesOmenihu,,,,,0.0,1.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,
133,chi,sfo31JacquesPatrick,,,,,,,,,,,,,,,
134,chi,sfo46TayborPepper,,,,,,,,,,,,,,,
135,chi,sfo59CurtisRobinson,,,,,,,,,,,,,,,
136,chi,sfo19DeeboSamuel,,,,,,,,,,,,,,,
137,chi,sfo18MohamedSanu,,,,,,,,,,,,,,,
138,chi,sfo28TreySermon,,,,,,,,,,,,,,,
139,chi,sfo81TrentSherfield,,,,,,,,,0.0,4.0,2.0,2.0,0.0,0.0,
140,chi,sfo41BusterSkrine,,,,,,,,,,,,,,,
141,chi,sfo14JoeySlye,,,,,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,
142,chi,sfo47SaivionSmith,,,,,,,,,,,,,,,
143,chi,sfo95KentaviusStreet,,,,,0.0,1.0,0.0,0.0,0.0,24.0,10.0,14.0,1.0,0.0,
144,chi,sfo26JaquiskiTartt,2.0,42.0,0.0,5.0,,,,,0.0,40.0,31.0,9.0,0.0,0.0,
145,chi,sfo20AmbryThomas,0.0,0.0,0.0,3.0,,,,,0.0,37.0,30.0,7.0,0.0,0.0,
146,chi,sfo75LakenTomlinson,,,,,,,,,,,,,,,
147,chi,sfo02JasonVerrett,,,,,,,,,,,,,,,
148,chi,sfo01JimmieWard,,,,,0.0,4.0,-11.0,0.0,0.0,,,,,,
149,chi,sfo54FredWarner,,,,,,,,,,,,,,,
150,chi,sfo24K'WaunWilliams,,,,,0.0,3.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,
151,chi,sfo71TrentWilliams,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,
152,chi,sfo94JordanWillis,,,,,4.0,0.0,0.0,0.0,18.5,49.0,38.0,11.0,17.0,22.0,
153,chi,sfo30JarrodWilson,,,,,,,,,0.0,3.0,2.0,1.0,0.0,0.0,
154,chi,sfo22JeffWilson,0.0,0.0,0.0,4.0,,,,,1.0,46.0,33.0,13.0,1.0,1.0,
155,chi,sfo32TavonWilson,,,,,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,
156,chi,sfo18MitchWishnowsky,,,,,,,,,,,,,,,
157,chi,sfo89CharlieWoerner,,,,,,,,,,,,,,,
158,chi,chi13RodneyAdams,,,,,,,,,,,,,,,
159,chi,chi50JeremiahAttaochu,,,,,,,,,0.0,2.0,1.0,1.0,0.0,1.0,
160,chi,chi64AlexBars,,,,,,,,,,,,,,,
161,chi,chi90AngeloBlackson,1.0,6.0,0.0,2.0,,,,,2.5,43.0,24.0,19.0,3.0,9.0,
162,chi,chi75LarryBorom,,,,,,,,,,,,,,,
