Name,Position,School ▲,HT,WT,Hands,Arms,Wingspan,40,Bench,3-Cone,Shuttle,Vertical,Broad
Josh Perry,LB,Southern Miss,6023.0,217.0,968.0,3100.0,7518.0,4.87,12,7.77,4.60,30.5,0904
Rachuan Mitchell,CB,Southern Miss,5095.0,187.0,928.0,3118.0,7400.0,4.65,9,7.57,4.57,33.0,0905
Justin Hulett,S,Southern Miss,5090.0,197.0,818.0,2818.0,6748.0,4.94,25,7.77,4.62,27.5,0807
Braxton Jones,OT,Southern Utah,6054.0,307.0,1018.0,3538.0,8428.0,--,26,7.59,4.74,27.0,--
Mykeal White,IDL,Southern Utah,6022.0,285.0,858.0,3228.0,7778.0,5.11,--,7.64,4.78,24.5,0711
La'akea Kaho'ohanohano-Davis,LB,Southern Utah,6004.0,218.0,968.0,3078.0,7478.0,4.74,18,7.00,4.38,37.0,1005
Keyshawn Wyatt,RB,Southwestern,5033.0,155.0,828.0,2728.0,6638.0,4.64,8,7.30,4.32,--,0910
Bernard Buhake,EDGE,St. Ambrose,6043.0,250.0,968.0,3568.0,8378.0,5.06,--,--,4.82,35.5,0905
Thomas Booker,IDL,Stanford,6035.0,302.0,1058.0,3328.0,8068.0,--,31,--,--,--,--
Tucker Fisk,IDL,Stanford,6034.0,287.0,1068.0,3218.0,7768.0,5.22,21,7.33,4.59,30.5,0900
Dalyn Wade-Perry,IDL,Stanford,6030.0,345.0,1048.0,3378.0,8228.0,5.74,13,8.26,4.70,25.5,0801
Casey Williams,EDGE,Stony Brook,6015.0,241.0,948.0,3200.0,8038.0,4.68,--,--,4.44,33.0,1004
Abdul Adams,RB,Syracuse,5104.0,204.0,838.0,3078.0,7258.0,4.61,21,7.09,4.28,35.0,1005
Airon Servais,IOL,Syracuse,6056.0,307.0,1018.0,3368.0,8058.0,5.38,--,8.00,4.84,26.0,0902
Josh Black,IDL,Syracuse,6025.0,284.0,1038.0,3318.0,8118.0,--,27,--,--,32.0,0910
Cody Roscoe,IDL,Syracuse,5113.0,253.0,868.0,3228.0,7800.0,4.83,33,7.01,4.32,29.5,0908
McKinley Williams,IDL,Syracuse,6035.0,291.0,1068.0,3148.0,7718.0,5.43,30,8.02,4.76,30.5,0804
Kingsley Jonathan,EDGE,Syracuse,6025.0,259.0,918.0,3458.0,8218.0,4.76,28,7.00,4.44,34.5,1000
Tariq Bitson,WR,Tarleton State,6010.0,212.0,,,,4.55,,6.86,4.33,33.5,0909
Benjie Franklin,CB,Tarleton State,,,,,,4.31,,,,,
Devin Hafford,CB,Tarleton State,5096.0,195.0,878.0,3000.0,7258.0,4.55,24,7.00,4.15,38.0,1005
Obinna Eze,OT,TCU,6064.0,328.0,978.0,3618.0,8638.0,5.29,--,8.01,5.00,--,--
TJ Carter,S,TCU,5092.0,189.0,838.0,3068.0,7348.0,4.57,--,7.21,4.15,37.0,0905
La'Kendrick Van Zandt,S,TCU,5114.0,210.0,938.0,3278.0,7918.0,4.56,12,7.09,4.15,39.5,1002
Antonio Ortiz,LS,TCU,6037.0,247.0,918.0,3218.0,7728.0,5.18,7,8.08,4.83,27.0,0801
Ra'Von Bonner,RB,Temple,5104.0,216.0,878.0,2948.0,7248.0,--,22,--,--,--,--
Tayvon Ruley,RB,Temple,5105.0,209.0,928.0,2918.0,7168.0,4.67,--,7.35,4.31,32.0,0906
Michael Niese,OT,Temple,6032.0,303.0,958.0,3238.0,7958.0,5.04,23,7.46,4.56,29.5,0807
Joseph Hooper,IOL,Temple,6014.0,298.0,958.0,3168.0,7768.0,5.48,21,--,--,--,--
CJ Perez,IOL,Temple,6007.0,293.0,1000.0,3148.0,7618.0,5.35,26,--,--,32.5,0900
Manny Walker,EDGE,Temple,6035.0,239.0,848.0,3400.0,8148.0,4.66,--,7.19,4.42,34.0,1004
William Kwenkeu,LB,Temple,6001.0,221.0,948.0,3168.0,7678.0,4.59,22,6.87,4.32,33.5,0905
Jeremy Jennings,CB,Temple,5090.0,165.0,900.0,3028.0,7300.0,4.63,--,7.26,4.44,34.5,1003
Freddie Johnson,CB,Temple,6001.0,183.0,848.0,3028.0,7248.0,4.49,--,7.06,4.21,35.0,1004
Amir Tyler,S,Temple,5105.0,193.0,848.0,3278.0,7628.0,4.76,16,7.27,4.39,38.0,1001
Velus Jones Jr.,WR,Tennessee,5116.0,204.0,978.0,3078.0,7438.0,--,18,7.32,4.51,32.0,1000
JaVonta Payton,WR,Tennessee,6003.0,175.0,928.0,3168.0,7648.0,4.45,--,7.59,4.68,33.0,1000
Cade Mays,IOL,Tennessee,6046.0,311.0,1000.0,3418.0,8300.0,--,21,--,4.63,--,--
Ja'Quain Blakely,IDL,Tennessee,6013.0,269.0,858.0,3348.0,7818.0,5.10,--,8.16,4.56,32.0,0905
Matthew Butler,IDL,Tennessee,6037.0,298.0,928.0,3348.0,8158.0,5.00,--,7.91,4.90,34.0,0905
Donovan Slates,LB,Tennessee,5113.0,230.0,958.0,3028.0,7500.0,4.93,12,7.76,4.84,30.5,0806
Kenneth George Jr.,CB,Tennessee,5116.0,194.0,868.0,3138.0,7648.0,4.56,16,7.53,4.54,34.5,1007
Alontae Taylor,CB,Tennessee,6001.0,199.0,918.0,3228.0,7468.0,--,14,7.08,4.25,39.0,1101
Theo Jackson,S,Tennessee,6007.0,198.0,938.0,3268.0,7600.0,4.46,12,7.34,4.25,37.0,1003
Geremy Hickbottom,QB,Tennessee State,6045.0,235.0,1018.0,3338.0,7848.0,4.86,--,7.43,4.43,30.5,0904
Nick Harper Jr.,WR,Tennessee State,,,,,,4.54,14,7.01,4.34,37.0,1005
Vincent Perry,WR,Tennessee State,,,,,,4.68,--,7.45,4.41,30.5,0906
Rodell Rahmaan,TE,Tennessee State,6030.0,223.0,,,,4.68,25,--,4.57,--,0910
Cam Durley,OT,Tennessee State,,,,,,--,21,--,--,--,--
Eddie Graham,CB,Tennessee State,5090.0,187.0,,,,4.62,21,6.91,4.19,36.5,0909
Domonique Williams,CB,Tennessee State,,,,,,4.72,19,7.24,4.44,32.5,0911
Cory Rahman,S,Tennessee State,6010.0,201.0,,,,4.63,19,6.93,4.19,37.5,1001
Gabriel Watson,RB,Texas,5113.0,226.0,938.0,3000.0,7218.0,4.73,17,7.00,4.27,31.0,0911
Cade Brewer,TE,Texas,6023.0,237.0,938.0,3178.0,7818.0,4.83,20,7.31,4.58,32.5,0904
Derek Kerstetter,IOL,Texas,6044.0,305.0,968.0,3318.0,7818.0,5.19,31,7.73,4.66,29.0,0809
Denzel Okafor,IOL,Texas,6032.0,307.0,978.0,3638.0,8638.0,5.15,--,7.46,4.65,27.0,0810
Ben Davis,EDGE,Texas,6034.0,237.0,900.0,3400.0,8218.0,4.73,21,7.23,4.41,34.0,1004
Jacoby Jones,EDGE,Texas,6023.0,267.0,958.0,3338.0,7978.0,5.10,17,7.40,4.53,32.5,0906
Ray Thornton,EDGE,Texas,6020.0,232.0,978.0,3378.0,7918.0,4.89,18,7.02,4.28,32.5,0911
Darion Dunn,CB,Texas,5110.0,185.0,838.0,3168.0,7638.0,4.67,7,7.35,4.61,34.5,1005
Josh Thompson,CB,Texas,5114.0,194.0,900.0,3118.0,7448.0,--,15,6.84,4.13,37.5,1007
Brenden Schooler,S,Texas,6015.0,203.0,848.0,3248.0,7878.0,4.43,16,6.71,4.10,37.5,1008
Cameron Dicker,K,Texas,6005.0,216.0,900.0,3028.0,7378.0,--,--,--,--,--,--
Justin Mader,LS,Texas,6011.0,229.0,848.0,3248.0,7728.0,5.25,--,7.81,4.63,32.0,0809
Isaiah Spiller,RB,Texas A&M,6003.0,217.0,858.0,3168.0,7500.0,4.64,--,--,4.27,33.0,--
Jalen Wydermyer,TE,Texas A&M,6040.0,257.0,968.0,3358.0,8100.0,5.02,--,--,--,25.5,0901
Jahmir Johnson,OT,Texas A&M,6043.0,290.0,958.0,3378.0,8168.0,--,18,--,--,28.5,0804
Kenyon Green,IOL,Texas A&M,6040.0,325.0,1038.0,3418.0,8338.0,5.28,--,--,5.03,28.5,--
DeMarvin Leal,IDL,Texas A&M,6037.0,284.0,938.0,3318.0,8100.0,5.04,17,7.20,--,30.5,0902
Jayden Peevy,IDL,Texas A&M,6053.0,308.0,1028.0,3528.0,8538.0,--,--,--,--,29.5,--
Micheal Clemons,EDGE,Texas A&M,6054.0,265.0,1018.0,3478.0,8318.0,4.85,--,7.20,4.45,35.0,--
Tyree Johnson,EDGE,Texas A&M,6027.0,250.0,968.0,3078.0,7628.0,--,--,--,--,--,--
Aaron Hansford,LB,Texas A&M,6025.0,239.0,1018.0,3238.0,7848.0,4.68,--,7.17,4.40,34.5,0908
Leon O'Neal Jr.,S,Texas A&M,6005.0,204.0,1028.0,3158,7658.0,4.71,--,6.83,4.22,35.5,--
Seth Small,K,Texas A&M,5092.0,208.0,900.0,2928,7058.0,--,--,--,--,--,--
Kader Kohou,CB,Texas A&M Commerce,5095.0,192.0,948.0,3038,7378.0,4.50,19,7.15,4.21,37.0,1010
Michael Badejo,EDGE,Texas Southern,,,,,,4.80,19,,4.59,33.0,0900
Jonathan Giles,WR,Texas Southern,6000.0,198.0,,,,4.46,,,,37.5,
Liam Dobson,IOL,Texas State,6021.0,312.0,968.0,3268,7878.0,--,--,--,--,--,--
Caeveon Patton,IDL,Texas State,6012.0,291.0,1000.0,3238,7748.0,5.04,22,7.47,4.57,34.0,0810
Jaquel Pierce,IDL,Texas State,6022.0,284.0,938.0,3338,7868.0,5.52,15,7.83,4.83,23.0,0803
Markeveon Coleman,LB,Texas State,6012.0,216.0,918.0,3118,7528.0,5.29,--,7.50,4.71,27.5,0806
Michael LoVett III,CB,Texas State,5113.0,187.0,878.0,3168,7700.0,4.74,--,7.17,4.35,33.0,0910
Troy Lefeged Jr.,S,Texas State,5105.0,198.0,900.0,3148,7368.0,4.74,11,7.00,4.41,35.5,0911
Erik Ezukanma,WR,Texas Tech,6017.0,206.0,938.0,3348,7900.0,4.55,10,7.20,--,36.5,--
Kaylon Geiger Sr.,WR,Texas Tech,5093.0,172.0,818.0,2918,7148.0,4.56,10,6.77,4.22,34.0,0910
McLane Mannix,WR,Texas Tech,5093.0,182.0,858.0,2928,7018.0,4.51,16,7.09,4.28,38.5,1004
Travis Koontz,TE,Texas Tech,6035.0,253.0,968.0,3158,7768.0,4.93,16,7.19,4.62,34.5,0904
TJ Storment,OT,Texas Tech,6063.0,322.0,948.0,3418,8238.0,5.34,17,7.82,4.70,26.5,0805
Josh Burger,IOL,Texas Tech,6027.0,301.0,928.0,3218,7738.0,5.78,18,8.28,5.00,23.0,0706
Dawson Deaton,IOL,Texas Tech,6054.0,308.0,958.0,3278,8128.0,--,--,--,--,--,--
Riko Jeffers,LB,Texas Tech,6005.0,224.0,978.0,3028,7700.0,4.95,13,7.11,4.41,29.5,0904
Jacob Morganstern,LB,Texas Tech,6025.0,238.0,828.0,3058,7578.0,4.70,20,7.13,4.37,33.5,1001
Colin Schooler,LB,Texas Tech,5116.0,229.0,978.0,3268,7668.0,4.67,22,6.96,4.28,37.5,1005
DaMarcus Fields,CB,Texas Tech,5115.0,192.0,918.0,3128,7538.0,--,11,6.95,4.29,37.0,0911
Eric Monroe,S,Texas Tech,5113.0,200.0,918.0,3200,7728.0,4.92,--,7.28,4.59,32.5,1000
Jonathan Garibay,K,Texas Tech,5116.0,217.0,918.0,2968,7568.0,--,--,--,--,--,--
Nick Watson,QB,Tiffin,5112.0,206.0,978.0,3100,7258.0,4.81,--,7.30,4.46,30.5,0903
Bryant Koback,RB,Toledo,5106.0,209.0,918.0,3118,7428.0,4.49,28,7.03,4.27,40.5,1004
Danzel McKinley-Lewis,WR,Toledo,5094.0,191.0,868.0,3168,7400.0,4.55,13,7.37,4.28,37.0,1005
Bryce Mitchell,WR,Toledo,6022.0,226.0,968.0,3238,7748.0,--,--,--,--,--,--
AJ Harrison,TE,Toledo,6005.0,247.0,978.0,3200,7728.0,5.06,15,7.73,4.78,30.5,0900
Drew Rosi,TE,Toledo,6027.0,236.0,868.0,3178,7578.0,4.82,--,7.10,4.45,35.5,0911
Vitaliy Gurman,IOL,Toledo,6030.0,306.0,978.0,3178,7678.0,5.36,33,7.77,4.69,28.0,0901
David Hood,IDL,Toledo,5115.0,288.0,900.0,3058,7518.0,5.52,26,8.26,5.02,22.0,0708
Jonathan Jones,LB,Toledo,5115.0,232.0,900.0,3168,7600.0,4.79,26,7.27,4.52,33.5,0909
Samuel Womack,CB,Toledo,5090.0,189.0,828.0,3178,7468.0,4.40,--,6.87,4.18,36.0,0910
Tycen Anderson,S,Toledo,6017.0,207.0,1018.0,3318,8048.0,--,12,--,4.27,37.0,--
Bailey Flint,P,Toledo,6037.0,216.0,918.0,3248,7838.0,--,--,--,--,--,--
Sean Mills,LS,Toledo,6025.0,232.0,938.0,3278,7838.0,5.12,--,--,--,--,--
Jonathan Jones,LB,Toledo,5115.0,229.0,968.0,3128,7518.0,4.62,23,7.19,4.33,33.5,0906
Jerry Howard Jr.,LB,Towson,5112.0,222.0,938.0,3048,7458.0,4.58,19,7.40,4.47,34.0,1001
Jerry Howard Jr.,LB,Towson,5112.0,222.0,938.0,3048,7458.0,4.58,19,7.40,4.47,34.0,1001
BJ Smith,RB,Troy,5077.0,199.0,900.0,3068,7138.0,4.63,20,7.20,4.39,35.0,0904
Tray Eafford,WR,Troy,5110.0,198.0,878.0,3028,7238.0,4.64,15,7.32,4.44,37.0,1008
Reggie Todd,WR,Troy,6036.0,217.0,1018.0,3448,8158.0,4.66,4,7.15,4.60,32.0,0907
Cherokee Glasgow,IDL,Troy,6006.0,266.0,900.0,3068,7568.0,5.30,9,7.98,4.78,24.0,0805
Jordan Anthony,LB,Troy,5116.0,239.0,900.0,3118,7528.0,4.87,19,7.50,4.31,29.5,0900
Cameron Kaye,LS,Troy,6010.0,239.0,848.0,3078,7378.0,5.06,17,7.61,4.71,26.5,0802
Shamari Brooks,RB,Tulsa,5074.0,194.0,868.0,--,6728.0,4.96,8,7.40,4.45,32.5,0810
Josh Johnson,WR,Tulsa,5104.0,179.0,858.0,3228,7458.0,4.62,--,--,--,--,--
Ezra Naylor II,WR,Tulsa,6030.0,205.0,928.0,3400,7958.0,4.68,7,--,4.32,38.0,1006
Chris Paul,OT,Tulsa,6037.0,328.0,948.0,3400,8200.0,--,26,--,--,--,--
Tyler Smith,OT,Tulsa,6047.0,327.0,1058,3428,8328,--,25,--,--,--,--
Tiller Bucktrot,IOL,Tulsa,6037.0,300.0,0958,3358,8248,5.87,12,8.47,4.70,25.0,0711
Tyarise Stevenson,IDL,Tulsa,6020.0,352.0,0928,3428,7948,5.66,23,8.48,4.57,25.0,0800
Cullen Wick,EDGE,Tulsa,6035.0,267.0,1000,3268,--,4.81,25,--,--,37.0,1004
Yohance Burnett,LB,Tulsa,6001.0,221.0,0938,3238,--,4.83,17,7.52,4.35,35.5,1003
Treyvon Reeves,LB,Tulsa,6013.0,226.0,1000,3378,7938,4.84,13,8.20,4.84,34.0,0903
Robert Revels III,LB,Tulsa,6016.0,234.0,0900,3158,7558,5.17,6,7.88,4.94,26.0,0900
Travon Fuller,CB,Tulsa,6003.0,179.0,1000,3268,7828,4.65,8,7.37,4.57,34.5,1001
TieNeal Martin,S,Tulsa,5115.0,201.0,0928,3168,7600,4.82,7,7.30,4.39,35.0,1001
Cristian Williams,S,Tulsa,5094.0,177.0,--,--,--,4.76,--,--,--,35.0,0907
Adam Higuera,LS,Tulsa,6007.0,237.0,0928,3058,7448,5.39,14,--,4.90,28.0,0810
Hayden Pittman,TE,UAB,6030.0,233.0,0968,3258,7718,5.02,15,7.31,4.46,33.0,0904
Gerrit Prince,TE,UAB,6044.0,241.0,0958,3400,7938,4.77,14,7.25,4.46,32.5,0906
Jakoby Jones,IOL,UAB,6007.0,299.0,1048,3538,8528,5.51,25,8.13,5.09,31.0,0806
Colby Ragland,IOL,UAB,6046.0,300.0,0928,3268,7838,5.54,20,8.50,5.19,26.0,0800
Mi'Cario Stanley,IDL,UAB,6002.0,270.0,0928,3258,7648,--,24,--,--,25.5,0809
Justin Thomas,IDL,UAB,6031.0,268.0,0928,3528,8148,4.93,22,7.63,4.66,29.5,0904
Tyree Turner,IDL,UAB,5114.0,293.0,0918,3200,7528,--,22,--,--,24.5,0711
Jacob Batts,EDGE,UAB,5105.0,200.0,0928,3128,7728,4.79,12,7.54,4.33,37.0,1002
Alex Wright,EDGE,UAB,6051.0,271.0,0928,3400,8278,--,--,--,--,--,--
Dy'jonn Turner,S,UAB,5100.0,199.0,0918,3048,7218,4.63,16,7.05,4.25,36.0,1000
Troy Young,S,UAB,5115.0,211.0,0838,3100,7278,4.69,17,7.78,4.52,33.5,0909
Khris Vaughn,WR,UC Davis,5113.0,185.0,0868,3168,7548,4.49,12,7.03,4.45,35.0,1000
Bryce Rodgers,IDL,UC Davis,6023.0,309.0,0948,3328,8100,5.36,18,7.84,4.65,25.5,0803
Kyree Woods,IDL,UC Davis,6007.0,305.0,0968,3148,7838,5.44,20,8.01,4.95,27.5,0803
Isaiah Thomas,CB,UC Davis,5081.0,172.0,0900,2878,6928,4.73,11,7.58,4.60,33.5,0906
Daniel Whelan,P,UC Davis,6051.0,216.0,0938,3300,7948,4.74,--,--,--,30.5,1001
Cole Schneider,IOL,UCF,,,,,,,29,,,,
Kalia Davis,IDL,UCF,,,,,,,30,,,,
Big Kat Bryant,EDGE,UCF,6044.0,255.0,,,,4.63,,,,,
Brittain Brown,RB,UCLA,6004.0,208.0,1058,3168,7638,4.69,16,7.12,4.31,34.0,1004
Ethan Fernea,WR,UCLA,5115.0,195.0,0928,3000,7358,4.52,--,7.10,4.26,34.5,1001
Kyle Philips,WR,UCLA,5112.0,181.0,0858,2958,7218,--,--,6.75,4.09,--,--
Greg Dulcich,TE,UCLA,6040.0,242.0,0978,3338,8068,--,--,--,--,--,--
Alec Anderson,OT,UCLA,6051.0,304.0,1038,3328,8128,5.36,21,8.14,5.03,24.0,0806
Sean Rhyan,OT,UCLA,6046.0,323.0,1158,3258,8018,--,21,--,4.60,34.5,0902
Paul Grattan Jr.,IOL,UCLA,6036.0,299.0,0958,3148,7918,5.37,26,8.06,4.83,25.0,0807
Datona Jackson,IDL,UCLA,6022.0,266.0,0978,3200,7728,5.14,28,7.80,4.75,25.0,0809
Otito Ogbonnia,IDL,UCLA,6037.0,323.0,1018,3428,8358,5.31,--,--,--,--,--
Obi Eboh,CB,UCLA,6011.0,195.0,0848,3158,7448,4.70,14,7.30,4.50,31.5,0906
Cameron Johnson,CB,UCLA,5110.0,179.0,0968,3218,7468,4.70,22,7.04,4.35,32.0,0909
Jordan Genmark Heath,S,UCLA,6011.0,226.0,0928,3068,7758,4.67,21,7.25,4.25,36.5,1002
Qwuantrezz Knight,S,UCLA,5106.0,195.0,0978,2968,7228,4.61,--,7.11,4.22,34.0,0908
Quentin Lake,S,UCLA,6014.0,199.0,0918,3128,7628,--,--,--,--,--,--
Kevin Mensah,RB,UConn,5085.0,206.0,0918,3100,7418,4.73,20,7.43,4.52,35.0,1005
Jahkai Gill,WR,UConn,5065.0,164.0,0848,2778,6858,4.83,11,7.40,4.66,31.0,0906
Jay Rose,TE,UConn,6031.0,251.0,0968,3168,7778,4.96,25,7.23,4.57,27.5,0900
Ryan Van Demark,OT,UConn,6064.0,307.0,1038,3568,8558,5.27,24,7.50,4.54,30.5,0904
Travis Jones,IDL,UConn,6043.0,327.0,1028,3458,8158,--,--,--,--,--,--
DJ Morgan,LB,UConn,6012.0,227.0,0928,3078,7648,4.83,16,7.59,4.62,29.5,0904
Omar Fortt,S,UConn,6002.0,213.0,968.0,3228.0,7738.0,4.62,20,6.98,4.32,34.0,0911
Brian Keating,LS,UConn,5113.0,237.0,868.0,3100.0,7648.0,5.26,12,7.73,4.68,25.0,0805
Ty Shelby,EDGE,UL Monroe,6037.0,249.0,1018.0,3378.0,8138.0,4.79,26,7.22,4.60,34.0,0909
Traveion Webster,LB,UL Monroe,5114.0,204.0,878.0,3100.0,7368.0,4.73,9,7.35,4.35,29.5,0906
Adam Sparks,CB,UL Monroe,5104.0,169.0,918.0,2928.0,7168.0,4.59,--,7.90,4.30,38.0,1006
Austin Hawley,S,UL Monroe,6004.0,199.0,868.0,3128.0,7568.0,4.69,13,6.88,4.28,33.5,1000
Troy Shallow,FB,UMass,6002.0,245.0,928.0,3018.0,7258.0,4.84,32,7.66,4.58,31.5,0904
Avien Peah,IDL,UMass,6016.0,277.0,948.0,3248.0,7838.0,4.89,33,7.80,4.65,36.0,0909
Bryce Watts,CB,UMass,5115.0,187.0,918.0,3100.0,7648.0,4.40,12,7.06,4.25,37.5,0910
Charles Williams,RB,UNLV,5094.0,200.0,878.0,3018.0,7228.0,4.54,16,7.28,4.58,30.5,0908
Clayton Bradley,IOL,UNLV,6055.0,317.0,938.0,3318.0,8078.0,5.06,23,7.96,4.82,30.5,0807
Julio Garcia,IOL,UNLV,6030.0,320.0,958.0,3368.0,8058.0,5.85,21,8.21,5.03,18.5,0702
Kolo Uasike,IDL,UNLV,5112.0,309.0,1038.0,3118.0,7778.0,5.50,26,7.95,4.85,26.5,0807
Vic Viramontes,LB,UNLV,5115.0,237.0,938.0,3068.0,7418.0,4.75,25,7.33,4.78,32.5,0904
Kylan Wilborn,LB,UNLV,6005.0,248.0,900.0,3268.0,7878.0,4.75,16,7.22,4.31,30.0,0810
Aaron Lewis,CB,UNLV,5084.0,186.0,858.0,2918.0,7248.0,4.64,16,7.34,4.42,38.0,1001
Erik Hansen,EDGE,Upper Iowa,6013.0,249.0,938.0,3148.0,7548.0,4.80,27,7.33,4.68,30.5,0907
Keaontay Ingram,RB,USC,5116.0,220.0,900.0,3138.0,7600.0,--,23,7.19,4.44,33.0,--
Vavae Malepeai,RB,USC,5107.0,212.0,938.0,3068.0,7368.0,--,--,--,--,27.5,0902
Sam Oram-Jones,RB,USC,5071.0,201.0,900.0,2868.0,7118.0,4.87,21,7.46,4.60,--,--
KD Nixon,WR,USC,5065.0,190.0,878.0,2878.0,7018.0,4.62,15,7.14,4.28,29.5,0903
Kohl Hollinquest,TE,USC,6024.0,245.0,918.0,3200.0,7800.0,5.21,--,7.76,4.59,26.5,0903
Erik Krommenhoek,TE,USC,6052.0,245.0,900.0,3158.0,7858.0,4.86,23,7.00,4.34,26.5,0908
Jalen McKenzie,OT,USC,6046.0,310.0,1058.0,3428.0,8218.0,5.33,22,7.81,4.80,24.5,0805
Liam Jimmons,IOL,USC,6050.0,320.0,1000.0,3200.0,7900.0,5.27,17,7.90,4.88,23.0,0803
Drake Jackson,EDGE,USC,6025.0,273.0,1018.0,3428.0,8258.0,--,--,7.09,4.28,--,--
Kanai Mauga,LB,USC,6006.0,245.0,968.0,3328.0,7728.0,4.67,21,7.27,4.40,32.0,0907
Chris Steele,CB,USC,6003.0,187.0,868.0,3118.0,7518.0,--,17,7.31,4.54,--,--
Isaac Taylor-Stuart,CB,USC,6014.0,201.0,900.0,3148.0,7728.0,4.43,15,6.81,4.17,36.5,1003
Greg Johnson,S,USC,5103.0,194.0,1000.0,3178.0,7600.0,4.68,--,7.15,4.34,29.5,0909
Isaiah Pola-Mao,S,USC,6034.0,212.0,848.0,3248.0,7648.0,4.51,--,6.87,4.34,31.0,1006
Ben Griffiths,P,USC,6064.0,240.0,978.0,3258.0,7858.0,4.98,--,--,--,30.0,0906
Mitchell Brinkman,TE,USF,6022.0,246.0,948.0,3048.0,7638.0,4.90,21,7.08,4.40,36.0,0911
Blake Green,IDL,USF,6015.0,281.0,1068.0,3248.0,7848.0,5.17,22,7.40,4.45,31.5,0902
Kelvin Kegler,IDL,USF,6010.0,299.0,938.0,3168.0,7628.0,5.07,21,7.90,4.89,32.5,0903
Thad Mangum,IDL,USF,5117.0,280.0,928.0,3100.0,7678.0,5.56,21,8.18,5.01,28.5,0810
Kelvin Pinkney,IDL,USF,6012.0,320.0,968.0,3338.0,7958.0,5.58,24,8.56,5.18,26.0,0803
Trent Schneider,P,USF,6001.0,198.0,918.0,3038.0,7348.0,--,--,--,--,--,--
Rodney Williams II,TE,UT Martin,,,,,,4.51,22,,4.10,40.5,1010
Shawn Shamburger,S,UT Martin,5103.0,183.0,958.0,3018.0,7258.0,4.66,4,7.35,4.38,34.0,1007
Rodney Williams,TE,UT Martin,6032.0,235.0,,,7968.0,4.51,22,7.44,4.16,40.5,1010
TJ Pledger,RB,Utah,5082.0,192.0,848.0,2918.0,7058.0,4.55,--,7.27,4.20,31.0,0907
Britain Covey,WR,Utah,5080.0,169.0,848.0,2738.0,6800.0,4.50,--,6.73,4.09,32.0,0910
Theo Howard,WR,Utah,6002.0,188.0,1000.0,3228.0,7868.0,4.75,14,7.03,4.31,34.0,1002
Cole Fotheringham,TE,Utah,6041.0,246.0,948.0,3128.0,7600.0,5.07,21,7.32,4.56,33.0,1000
Bamidele Olaseni,OT,Utah,6071.0,339.0,978.0,3648.0,8838.0,5.44,--,8.25,5.02,26.0,0800
Nick Ford,IOL,Utah,6050.0,310.0,958.0,3368.0,8258.0,5.52,26,7.81,4.65,26.0,0811
Viane Moala,IDL,Utah,6061.0,309.0,938.0,3438.0,8338.0,5.41,26,--,--,23.5,--
Hauati Pututau,IDL,Utah,6031.0,306.0,958.0,3228.0,7778.0,5.21,30,--,--,26.5,0903
Mika Tafua,EDGE,Utah,6027.0,249.0,918.0,3200.0,7648.0,4.95,24,7.21,4.34,31.5,0903
Maxs Tupai,EDGE,Utah,6011,236,918.0,3068.0,7518.0,4.85,18,7.10,4.46,33.0,0907
Devin Lloyd,LB,Utah,6026,237,948.0,3300.0,8138.0,--,--,--,--,--,--
Nephi Sewell,LB,Utah,5114,224,848.0,2948.0,7100.0,--,24,--,--,--,--
Vonte Davis,S,Utah,6001,197,928.0,3268.0,7638.0,4.85,13,7.28,4.43,32.5,0910
Brandon McKinney,S,Utah,6001,197,928.0,2948.0,7418.0,4.70,14,7.16,4.38,32.0,0909
Keegan Markgraf,LS,Utah,6027,239,868.0,3178.0,7538.0,5.30,14,--,--,--,--
Devonta'e Henry-Cole,RB,Utah State,5074,193,868.0,3018.0,7400.0,4.49,15,7.03,4.36,39.5,1011
Brandon Bowling,WR,Utah State,5093,183,838.0,2900.0,7038.0,4.57,5,7.07,4.26,31.0,0909
Jordan Nathan,WR,Utah State,5083,177,928.0,2818.0,6838.0,4.68,12,7.10,4.28,32.5,0907
Savon Scarver,WR,Utah State,5106,184,978.0,3278.0,7700.0,4.45,14,6.99,4.43,38.0,1008
Deven Thompkins,WR,Utah State,5067,167,868.0,3048.0,7018.0,4.44,9,6.98,4.18,38.5,1100
Derek Wright,WR,Utah State,6006,193,928.0,2928.0,7228.0,4.52,21,7.00,4.46,38.0,1009
Carson Terrell,TE,Utah State,6047,248,948.0,3348.0,8078.0,4.86,19,7.30,4.57,31.5,0908
Demytrick Ali'ifua,IOL,Utah State,6027,319,928.0,3168.0,7728.0,5.35,25,8.01,4.90,27.5,0809
Marcus Moore,IDL,Utah State,6023,281,858.0,3148.0,7768.0,4.75,32,7.53,4.53,34.5,0910
Jaylin Bannerman,EDGE,Utah State,6041,236,1018.0,3300.0,8338.0,4.99,18,7.44,4.77,32.5,1003
Nick Heninger,EDGE,Utah State,6021,229,938.0,3200.0,7600.0,4.82,30,7.18,4.43,36.0,0911
Cash Gilliam,LB,Utah State,5105,201,868.0,3078.0,7428.0,4.78,14,--,--,32.0,0907
Justin Rice,LB,Utah State,6016,226,858.0,3200.0,7468.0,4.65,17,7.18,4.44,32.0,0905
Kyle Mayberry,CB,Utah State,5087,184,900.0,3058.0,7318.0,4.52,17,--,--,31.0,--
Shaq Bond,S,Utah State,5102,190,948.0,3048.0,7578.0,4.83,3,6.95,4.44,32.0,0906
