Name,Position,School ▲,HT,WT,Hands,Arms,Wingspan,40,Bench,3-Cone,Shuttle,Vertical,Broad
Corey Hoelck,IOL,Nebraska Kearney,6025.0,295.0,0948,3238,7768,5.47,--,7.86,4.60,28.5,0809
Harry Ballard III,WR,Nevada,6015.0,204.0,0918,3300,7348,4.63,11,7.20,4.63,33.0,0903
Romeo Doubs,WR,Nevada,6016.0,204.0,1018,3278,7818,--,13,--,--,--,--
Sam Hammond,IDL,Nevada,6045.0,259.0,1018,3300,7938,4.97,17,7.08,4.55,33.5,0905
Lawson Hall,LB,Nevada,5112.0,227.0,0918,3228,7518,4.91,17,7.26,4.66,34.0,0908
Julian Diaz,P,Nevada,6005.0,225.0,0928,3100,7348,--,12,--,--,--,--
Evan Horn,S,New Hampshire,6000.0,223.0,0878,3028,7418,4.88,22,6.91,4.53,28.0,0903
Khalim Cisse,LB,New Haven,5111.0,231.0,0938,3028,7628,4.94,23,7.10,4.27,33.5,0908
Kyle Jarvis,TE,New Mexico,6034.0,235.0,0968,3418,8038,4.96,12,7.46,4.75,28.5,0901
Joey Noble,EDGE,New Mexico,6023.0,240.0,0938,3168,7668,4.92,15,7.38,4.56,25.5,0809
Tony Collier,CB,New Mexico,5096.0,174.0,0868,3000,7100,4.63,9,6.75,4.27,39.0,1004
Corey Hightower,CB,New Mexico,5106.0,191.0,0900,3158,7600,4.72,14,6.95,4.17,35.5,1008
Patrick Peek,S,New Mexico,5096.0,192.0,0928,3068,7528,4.66,8,--,--,32.0,0909
Andrew Shelley,K,New Mexico,6006.0,195.0,0868,3000,7358,--,--,--,--,--,--
Terry Wilson,QB,New Mexico,,,,,,4.52,,,,,
Ramone Atkins,QB,New Mexico Highlands,6027.0,235.0,0948,3258,7848,4.96,14,7.40,4.71,30.0,0903
Davaris Howard,LB,New Mexico Highlands,6025.0,227.0,0938,3318,7778,5.01,--,--,--,--,--
Malik Brown,CB,New Mexico Highlands,5075.0,169.0,0828,2968,6968,4.96,--,--,--,--,--
Terrence Jackson Jr.,CB,New Mexico Highlands,5067.0,182.0,0838,2968,7158,4.82,--,--,--,--,--
Robert Downs III,WR,New Mexico State,5097.0,200.0,0878,3028,7338,4.69,12,7.14,4.25,--,--
Jared Wyatt,WR,New Mexico State,6016.0,203.0,0928,3000,7328,4.58,18,6.89,4.22,34.5,1004
Sage Doxtater,IOL,New Mexico State,6063.0,350.0,--,--,--,--,--,--,--,--,--
Caleb Mills,S,New Mexico State,6037.0,212.0,0828,3448,7948,--,--,--,--,--,--
Bobby Irby,WR,Newberry,5077.0,176.0,0848,3138,7138,4.90,--,7.31,4.64,31.5,0811
Tyran Dixon,IDL,Newberry,6014.0,311.0,0978,3258,7768,5.22,27,7.98,4.91,26.5,0800
Ty Kelly,IDL,Newberry,6032.0,270.0,0938,3448,7800,5.02,13,7.82,5.12,28.5,0808
Nick Yearwood,LB,Newberry,6007.0,237.0,1018,3168,7818,4.98,19,7.82,4.89,25.5,0807
David Vereen,CB,Newberry,5092.0,188.0,0878,3248,7558,4.50,12,7.45,4.07,36.0,0909
Jalen Powell,IOL,Norfolk State,6025.0,285.0,,,,5.01,,7.56,4.83,31.5,0803
Chris Myers,EDGE,Norfolk State,,,,,,4.89,,7.25,4.46,31.5,0905
Wallace Cowins Jr.,EDGE,North Alabama,6041.0,273.0,0848,3268,7958,5.09,--,8.03,4.76,28.0,0807
KJ Smith,S,North Alabama,5095.0,186.0,0848,3038,7148,4.73,14,7.38,4.49,31.0,0904
Bryce Morais,EDGE,North Alabama,6042.0,266.0,0918,3328,7900,5.05,13,--,4.99,21.5,--
Sam Howell,QB,North Carolina,6005.0,224.0,0918,3138,7548,--,--,--,--,--,--
Ty Chandler,RB,North Carolina,5112.0,203.0,0900,3218,7558,--,15,7.40,4.41,--,--
Garrett Walston,TE,North Carolina,6042.0,241.0,938.0,3200.0,7738.0,4.87,14,7.46,4.56,30.0,0900
Marcus McKethan,OT,North Carolina,6064.0,341.0,1048.0,3548.0,8578.0,--,--,--,--,--,--
Jordan Tucker,OT,North Carolina,6062.0,344.0,1000.0,3500.0,8438.0,5.37,14,8.13,5.01,22.5,0801
Joshua Ezeudu,IOL,North Carolina,6042.0,313.0,948.0,3418.0,8238.0,--,20,--,--,--,--
Tomon Fox,EDGE,North Carolina,6023.0,253.0,958.0,3318.0,8068.0,--,24,--,--,--,--
Jeremiah Gemmel,LB,North Carolina,6006.0,225.0,928.0,3128.0,7658.0,--,--,--,--,--,--
Kyler McMichael,CB,North Carolina,6001.0,201.0,928.0,3100.0,7448.0,4.49,14,6.94,4.37,32.0,0906
Grayson Atkins,K,North Carolina,5091.0,193.0,878.0,2858.0,6938.0,--,--,--,--,--,--
Isiah Macklin,TE,North Carolina Central,6040.0,236.0,1000.0,3300.0,7958.0,4.77,16,7.16,4.57,35.5,1000
Zonovan Knight,RB,North Carolina State,5107.0,209.0,928.0,3048.0,7368.0,4.53,--,6.95,4.07,33.0,--
Ricky Person Jr.,RB,North Carolina State,6004.0,215.0,968.0,3248.0,7728.0,4.59,13,7.36,4.37,34.0,1002
Emeka Emezie,WR,North Carolina State,6023.0,210.0,900.0,3268.0,7678.0,4.82,18,6.87,4.31,29.0,0906
CJ Riley,WR,North Carolina State,6040.0,221.0,900.0,3168.0,7500.0,4.75,7,7.26,4.41,31.5,0910
Dylan Parham,TE,North Carolina State,6042.0,241.0,1018.0,3328.0,7828.0,4.83,16,7.36,4.34,31.0,0906
Ikem Ekwonu,OT,North Carolina State,6040.0,328.0,1028.0,3448.0,8538.0,--,26,--,--,--,--
Tyrone Riley,OT,North Carolina State,6060.0,291.0,958.0,3548.0,8300.0,5.29,15,8.06,4.70,26.0,0810
Daniel Joseph,EDGE,North Carolina State,6022.0,261.0,928.0,3600.0,8200.0,5.08,--,7.45,4.45,29.0,0900
Vi Jones,LB,North Carolina State,6026.0,225.0,938.0,3300.0,7918.0,4.52,11,6.93,4.31,36.0,1006
Chris Ingram,CB,North Carolina State,5117.0,182.0,838.0,3318.0,7868.0,4.67,9,7.34,4.37,31.0,--
Trenton Gill,P,North Carolina State,6042.0,219.0,918.0,3128.0,7658.0,--,--,--,--,--,--
Andrew Kamienski,WR,North Central,5103.0,197.0,858.0,3048.0,7348.0,4.77,12,7.06,4.52,31.5,0905
Evan Holm,S,North Dakota,5111.0,180.0,928.0,3018.0,7248.0,4.53,13,6.86,4.15,33.0,1001
Matt Waletzko,OT,North Dakota,,,,,,,28,,,,
Christian Watson,WR,North Dakota State,6041.0,208.0,1018.0,3268.0,7858.0,--,18,6.96,4.19,--,--
Josh Babicz,TE,North Dakota State,6057.0,255.0,1028.0,3278.0,7478.0,4.87,21,7.16,4.39,37.0,0911
Cordell Volson,OT,North Dakota State,6061.0,315.0,1048.0,3378.0,8228.0,--,--,7.65,4.64,32.0,--
Brayden Thomas,EDGE,North Dakota State,6030.0,258.0,968.0,3200.0,7800.0,4.92,25,6.90,4.40,32.0,0903
Deandre Torrey,RB,North Texas,5070.0,201.0,918.0,2928.0,6900.0,4.57,26,7.36,4.38,38.5,0910
Jason Pirtle,TE,North Texas,6014.0,225.0,900.0,3048.0,7458.0,5.19,--,7.87,4.78,27.0,0804
Dion Novil,IDL,North Texas,6012.0,300.0,900.0,3248.0,7878.0,5.18,27,7.97,5.00,29.5,0809
Kameron Hill,EDGE,North Texas,6020.0,246.0,878.0,3148.0,7828.0,5.11,16,7.51,4.58,29.5,0808
Makyle Sanders,S,North Texas,6010.0,206.0,958.0,3118.0,7428.0,4.69,13,7.13,4.24,37.0,0911
Nate Durham,LS,North Texas,6014.0,232.0,868.0,3018.0,7568.0,5.70,7,8.31,4.90,25.0,0801
Matthew Kempton,TE,Northern Arizona,6041.0,243.0,1000.0,3138.0,7558.0,4.90,20,7.75,4.76,29.5,0801
Carson Taylor,EDGE,Northern Arizona,6034.0,241.0,838.0,3348.0,7948.0,4.59,19,7.45,4.44,38.0,0910
Lionell Wiggins,EDGE,Northern Arizona,6003.0,249.0,1000.0,3148.0,7478.0,5.06,17,7.75,4.73,29.0,0905
Tristen Vance,LB,Northern Arizona,5107.0,228.0,968.0,3328.0,7958.0,4.70,22,7.62,4.52,36.0,0905
Brenndan Johnson,S,Northern Arizona,5102.0,177.0,868.0,3068.0,7228.0,4.49,--,7.60,4.69,30.0,0905
Luis Aguilar,K,Northern Arizona,6012.0,214.0,928.0,3100.0,7368.0,--,--,--,--,--,--
DJ Arnson,P,Northern Arizona,5103.0,190.0,858.0,2918.0,6978.0,--,--,--,--,--,--
Justin Hathoot,LS,Northern Arizona,6010.0,192.0,958.0,3068.0,7378.0,5.05,--,--,--,--,--
Tru Wilson,RB,Northern Colorado,5090.0,189.0,878.0,2858.0,7118.0,4.84,18,7.09,4.31,29.5,0811
Xander Gagnon,LB,Northern Colorado,6026.0,234.0,1000.0,3218.0,7748.0,4.70,--,7.38,4.62,--,--
Komotay Koffie,S,Northern Colorado,5111.0,194.0,858.0,3148.0,7568.0,4.65,18,7.29,4.40,31.5,1003
Sam Flowers III,WR,Northern Colorado,5090.0,187.0,948.0,,7200.0,4.45,12,,,39.0,1002
Brayden Patton,IOL,Northern Illinois,6045.0,306.0,948.0,3338.0,7978.0,5.49,20,7.93,4.82,24.0,0711
Clint Ratkovich,FB,Northern Illinois,,,,,,4.63,31,7.18,4.32,34.0,1002
Tyrice Richie,WR,Northern Illinois,,,,,,,,,,,
Lance DeVeaux Jr.,LB,Northern Illinois,,,,,,,,,,,
Matt Ference,P,Northern Illinois,,,,,,,,,,,
Bradrick Shaw,RB,Northern Iowa,6014.0,220.0,948.0,3118.0,7418.0,4.58,30,7.70,4.85,37.5,1005
Isaiah Weston,WR,Northern Iowa,6034.0,211.0,968.0,3248.0,7868.0,--,--,7.27,4.40,--,--
Kyle Fourtenbary,TE,Northern Iowa,6022.0,248.0,918.0,3138.0,7548.0,4.86,19,7.41,4.65,28.5,0903
Antione Frazier,OT,Northern Iowa,6037.0,327.0,1028.0,3428.0,8128.0,5.56,28,8.14,5.16,30.0,0808
Trevor Penning,OT,Northern Iowa,6071.0,333.0,1038.0,3468.0,8348.0,--,28,--,--,--,--
Jared Brinkman,IDL,Northern Iowa,6002.0,292.0,1018.0,3300.0,7600.0,5.16,35,7.75,4.71,33.5,0901
Brawntae Wells,EDGE,Northern Iowa,6023.0,259.0,948.0,3458.0,8358.0,5.03,25,7.32,4.50,33.0,0907
Alfonzo Lambert,LB,Northern Iowa,6005.0,217.0,900.0,3068.0,7600.0,4.93,16,7.18,4.38,32.5,0911
Austin Evans,S,Northern Iowa,6005.0,195.0,1000.0,3248.0,7828.0,4.73,11,6.91,4.44,35.0,0906
Payton Muljo,OT,Northern Michigan,6055.0,301.0,1018.0,3518.0,8448.0,5.26,16,7.79,4.76,30.0,0809
Brady Hanson,LB,Northern Michigan,6047.0,231.0,918.0,3238.0,7518.0,4.77,10,7.28,4.77,31.0,0906
Stephon Robinson Jr.,WR,Northwestern,5091.0,181.0,838.0,2900.0,7168.0,4.62,12,7.06,4.47,33.5,0911
Jeremy Meiser,IDL,Northwestern,6022.0,296.0,928.0,3018.0,7568.0,5.25,33,7.84,4.75,28.5,0808
Jeffery Pooler Jr.,EDGE,Northwestern,6020.0,257.0,1068.0,3368.0,7948.0,--,18,7.25,4.59,30.0,0811
Chris Bergin,LB,Northwestern,5100.0,210.0,948.0,2958.0,7248.0,4.72,15,6.85,4.16,34.5,0906
Derek Adams,P,Northwestern,5112.0,209.0,828.0,3018.0,7348.0,--,--,--,--,--,--
Joe Spivak,IDL,Northwestern,,,,,,,,,,,
Jay Griffin IV,WR,Northwestern State,,,,,,4.59,,,,,
Donovan Duvernay,S,Northwestern State,,,,,,4.56,,6.80,4.09,34.5,
Jack Coan,QB,Notre Dame,6032.0,218.0,968.0,3138.0,7500.0,--,--,--,--,--,--
Kyren Williams,RB,Notre Dame,5092.0,199.0,900.0,2858.0,7018.0,4.69,--,7.07,4.33,--,--
Kevin Austin Jr.,WR,Notre Dame,6023.0,209.0,928.0,3278.0,7928.0,--,--,--,--,--,--
Cain Madden,IOL,Notre Dame,6024.0,310.0,1000.0,3068.0,7518.0,5.76,24,8.02,4.87,27.0,0807
Kurt Hinish,IDL,Notre Dame,6022.0,302.0,1000.0,3218.0,7700.0,5.07,31,7.39,4.48,28.0,0900
Myron Tagovailoa-Amosa,IDL,Notre Dame,6022.0,270.0,958.0,3300.0,7948.0,--,--,--,4.75,29.5,--
Drew White,LB,Notre Dame,6002.0,228.0,900.0,3018.0,7358.0,4.77,22,7.02,4.25,29.0,--
Kyle Hamilton,S,Notre Dame,6041.0,217.0,938.0,3328.0,8068.0,4.72,--,--,--,--,--
Isaiah Pryor,S,Notre Dame,6013.0,220.0,918.0,3200.0,7728.0,4.65,27,6.82,4.33,30.5,1001
Jonathan Doerer,K,Notre Dame,6031.0,194.0,918.0,3158.0,7618.0,--,--,--,--,29.5,0906
Devanaire Conliffe,WR,Notre Dame (OH),6006.0,240.0,1028.0,3358.0,7978.0,4.65,20,7.55,4.55,33.5,0906
Gabe Bautz,IOL,NW Missouri State,6024.0,319.0,1048.0,3200.0,7928.0,5.18,26,7.66,4.79,25.5,0802
Al McKeller,RB,NW Missouri State,5091.0,224.0,858.0,3018.0,7138.0,4.71,20,7.19,4.39,32.5,0906
Kaden Davis,WR,NW Missouri State,5116.0,188.0,868.0,3168.0,7448.0,4.44,10,6.88,4.15,36.5,1004
Imoni Donadelle,WR,NW Missouri State,5097.0,178.0,858.0,2968.0,7300.0,4.66,--,--,--,--,--
Tanner Owen,OT,NW Missouri State,6042.0,307.0,1038.0,3438.0,8148.0,5.00,27,7.54,4.52,34.0,0905
Sam Roberts,IDL,NW Missouri State,6046.0,293.0,948.0,3348.0,8148.0,5.14,25,--,--,30.0,--
J'Ravien Anderson,CB,NW Missouri State,5116.0,200.0,800.0,3000.0,7400.0,4.66,--,--,--,--,--
Armani Rogers,TE,Ohio,6053.0,230.0,,,,4.58,,,,34.0,1010
De'Montre Tuggle,RB,Ohio,5084.0,206.0,900.0,3100.0,7348.0,4.59,19,7.03,4.20,35.5,0909
Chase Cokley,WR,Ohio,6005.0,205.0,878.0,3200.0,7528.0,4.95,14,7.18,4.56,30.5,0905
Cameron Odom,WR,Ohio,6001.0,190.0,868.0,3200.0,7558.0,4.58,9,7.34,4.38,32.0,0905
TJ Jackson,OT,Ohio,6062.0,349.0,958.0,3500.0,8500.0,--,--,--,--,--,--
Nick Sink,IOL,Ohio,6021.0,310.0,918.0,3148.0,7700.0,5.17,26,7.98,4.65,28.5,0807
Zach Burks,IDL,Ohio,6010.0,282.0,918.0,3118.0,7568.0,5.28,23,7.90,4.88,31.0,0810
Will Evans,EDGE,Ohio,6020.0,235.0,1000.0,3278.0,7958.0,4.79,14,7.43,4.25,34.0,1000
Jarren Hampton,S,Ohio,5096.0,202.0,800.0,3028.0,7358.0,4.71,22,7.39,4.39,34.0,1005
Stephen Johnson,K,Ohio,6001.0,189.0,838.0,3048.0,7328.0,--,--,--,--,31.0,--
Demario McCall,RB,Ohio State,5093.0,179.0,938.0,3038.0,7300.0,4.57,13,7.09,4.14,34.5,1000
Master Teague III,RB,Ohio State,5112.0,221.0,948.0,3178.0,7678.0,4.47,27,6.95,4.29,36.0,1011
Chris Booker,WR,Ohio State,5116.0,184.0,878.0,3068.0,7238.0,4.56,--,7.01,4.13,36.0,0909
Chris Olave,WR,Ohio State,6004.0,185.0,948.0,3118.0,7318.0,--,--,--,--,--,--
Garrett Wilson,WR,Ohio State,5116.0,184.0,978.0,3200.0,7648.0,--,--,--,--,--,--
Jeremy Ruckert,TE,Ohio State,6054.0,251.0,1018.0,3258.0,7918.0,--,22,--,--,--,--
Nicholas Petit-Frere,OT,Ohio State,6052.0,316.0,1068.0,3358.0,8238.0,--,24,7.85,4.85,30.5,--
Thayer Munford,IOL,Ohio State,6056.0,329.0,1018.0,3548.0,8458.0,5.33,22,7.74,4.77,--,--
Haskell Garrett,IDL,Ohio State,6021.0,300.0,978.0,3178.0,7900.0,--,24,7.75,4.80,--,--
Antwuan Jackson,IDL,Ohio State,6021.0,298.0,928.0,3178.0,7728.0,5.16,22,7.94,4.90,28.0,0710
Tyreke Smith,EDGE,Ohio State,6033.0,255.0,1028.0,3368.0,8078.0,--,--,7.06,4.26,--,0909
Kennedy Brooks,RB,Oklahoma,5105.0,209.0,800.0,3100.0,7500.0,--,14,7.03,4.40,35.5,--
Jeremiah Hall,FB,Oklahoma,6015.0,239.0,1038.0,3248.0,7668.0,4.84,--,7.20,4.51,33.0,--
Mike Woods,WR,Oklahoma,6014.0,203.0,948.0,3328.0,7848.0,--,--,7.07,4.46,35.5,--
Marquis Hayes,IOL,Oklahoma,6047.0,318.0,878.0,3538.0,8348.0,--,--,7.94,4.78,24.5,0806
Tyrese Robinson,IOL,Oklahoma,6031.0,319.0,1028.0,3368.0,7968.0,5.16,--,8.15,5.05,--,--
LaRon Stokes,IDL,Oklahoma,6036.0,278.0,1000.0,3228.0,7828.0,4.96,23,7.27,4.69,33.5,0908
Perrion Winfrey,IDL,Oklahoma,6035.0,290.0,1028.0,3528.0,8468.0,--,--,--,--,--,--
Nik Bonitto,EDGE,Oklahoma,6031.0,248.0,918.0,3248.0,7878.0,--,22,7.04,--,--,--
Isaiah Thomas,EDGE,Oklahoma,6050.0,265.0,968.0,3348.0,8000.0,--,23,--,--,--,--
Brian Asamoah II,LB,Oklahoma,6004.0,225.0,948.0,3300.0,7928.0,--,23,--,--,--,--
Delarrin Turner-Yell,S,Oklahoma,5102.0,197.0,1000.0,3168.0,7628.0,--,--,--,--,--,--
Gabe Brkic,K,Oklahoma,6021.0,195.0,878.0,3278.0,7800.0,--,--,--,--,--,--
Preston Haire,QB,Oklahoma Baptist,5111.0,200.0,848.0,2968.0,7168.0,4.71,--,7.33,4.38,37.0,0907
